Word,POS,Definition,Forms,Usage Notes,
thutrûllīqu (1),n,"- (animates) a creature which sustains itself via the consumption of blood
- (mon.) vampire
- (i.) vampire bat
- (mun.) syringe
- (a.) vampirism; the practice of drinking blood","(e., r., mon., i., mun., a.)",,
thūx,v,"to extend; to surround, to encompass; to be vast","thūxad, thudūx, thudūxad",,
ti,con,if,,,
tideŋqχi,adv,"narrowsightedly, without foresight; regrettably",N/A,,
til (1),adj,"hard, difficult, complicated",tirl,,
tirx (2),n,"- (aniamtes) scholar
- (mag., mun.) maze, labyrinth
- (a.) complexity, difficulty",(all),,
tōllq (3),n,"truth, honesty",(a.),,
tolūr,aux,to be unable to (inabilitative aspect),defective,,
tolūr (3),adj,"unable, incapable; impossible",torlūr,,
tolyr,aux,"to almost, to nearly (defective aspect)",defective,,
tolyr (3),adj,"able, capable; possible, plausible",torlyr,,
tōq̇il,adv,"only, just; solely, slone",N/A,,
toq̇y,det,"just one, just a single",,- only takes singular,
toq̇y (1),adj,"singular, sole; alone, lonely",tōq̇y,,
tōrūl (3),n,"- (mag., mun.) tongue
- (a.) language",(inanimates),,
torxo (3),n,"- (mag.) spirit of a people or nation
- (mun.) group, community; alliance; server
- (a.) community; allegiance",(inanimates),,
trā,part,Wow! Nice! Cool!,,,
trærān (4),n,aunt; common and polite term of address to a female Dragon,(animates),,
trærōn (4),n,non-binary equivalent of uncle/aunt; common and polite gender-neutral term of address to a Dragon,(animates),,
trærū (2),n,father,(animates),,
trærūn (4),n,uncle; common and polite term of address to a male Dragon,(animates),,
træχon (3),n,"- (e.) dragon
- (r.) lesser dragon; hatchling, baby dragon
- (a.) dragonkind, dragons as a group","(e., r., a.)",,
trâfo,det,"some, some of",,"- takes singular for mass nouns, plural for count nouns",
tráqħ,v,"to speak, to say","tráqħád, trôqħ, trôqħád",,
traχē (1),n,"- (r.) whelp, young dragon
- (a.) youth; naivete","(r., a.)",,
traχon (3),n,alternate form of træχon,"(e., r., a.)",,
traχunlli (1),n,dragonborn; draconic humanoid,(r.),,
tre,con,because,,,
trē (1),adj,instigating; original,trētrē,,
trē (1),n,"- (mag.) magic word that is needed to cast a spell
- (mun.) urge
- (a.) cause, instigating effect",(inanimates),,
tre-,pp,"because of, due to",,,
trēk,v,to source; to consume,"trēxad, trexēk, trexēxad",,
trellelleŋ (3),n,"- (mag., mun.) wealth, valuables; treasure
- (a.) value, worth",(inanimates),,
trelleŋ,v,"to treasure, to consider valuable; (reflexive) to be vain, selfish, egotistical","trelleŋad, trellēŋ, trellēŋad",,
trēre (1),n,"- (animates) people, populus, beings consisting of a common group, especially tied to a particular nation, ethnicity, class, or species
- (mag. mun.) homeland
- (a.) origin, where one is from",(all),"- sense ""homeland"" in the Magical indicates a strong and fond personal connection with the speaker",
trerq̇ħ,v,to articulate; to be precise,"trerq̇ħád, treterq̇ħ, treterq̇ħád",,
trexēk (1),adj,"voracious, greedy",tretrexēk,"- elative form often implies ""gluttonous""",
trexēk (1),n,"consumption, voracity, greed; gluttony",(a.),,
trexēxō (1),n,"- (e., r.) a Draconic name
- (animates) biological consumer",(animates),,
treχe',v,"to utilize, to exploit; to capitalize on","treχōd, treχeχe', treχeχōd",- all senses take preposition lleŋ-,
treχō (3),n,"- (animate) user; individual
- (mag., mun.) tool
- (a.) use, utilization",(all),,
trill (2),n,"pain, suffering; agony",(inanimates),,
trilliqo,v,"to know well, to be an expert in","trilliqād, trillīqo, trillīqād",,
trilqo,v,to know (facts),"trilqād, trīlqo, trīlqād",,
trīm,v,"to fold; to draw oneself around something, to envelop","trīmad, tritrīm, tritrīmad",,
trīmath (3),n,"- (mon.) invisible stalker; by extension, any invisible spirit
- (i.) chameleon; by extension, any color changing creature
- (mag.) magical cloak; stealth magic
- (mun.) cloak, robe, outer layer of clothing; costume, covering; envelope
- (a.) concealment, stealth, camouflage","(mon., i., mag., mun., a.)",,
trir',v,"to react, to react to","trir'ad, trīru', trīru'ad","- sense ""to react to"" takes preposition sī-",
trīru' (2),n,reaction,(inanimates),,
triχōχu (1),n,"- (animates) thief, robber
- (mag.) thievery magic
- (mun.) glove
- (a.) theft, theivery",(all),,
triχu,v,"to burst, to pop","triχūd, tritriχu, tritriχūd",,
triχu',v,"to steal, to rob","triχu'led, tritriχu', tritriχu'led",,
triχūls,v,"to dispose, dispose of, to throw away; to remove, disrobe, take off; (reflexive) to leave or exit, especially on bad terms","triχūlsad, tritriχūls, tritriχūlsad",,
trō (1),n,tooth,(mun.),,
trōlq,adv,"verily, truthfully, honestly, indeed",torōlq,,
trōlq,part,"yes, indeed",,"- rare; it is much more common to simply repeat back the verb in the affirmative, e.g. Q: Do you eat meat? A: I eat",
trolq (1),n,"- (mag.) inner fire; dragon soul
- (mun.) need, basic resource required for living
- (a.) requirement, necessity",(inanimates),,
troqloth,v,"to need, to require","troqlyd, trōqloth, trōqlyd",,
trotry (1),n,"- (i.) shark
- (a.) smile, expression of happiness; giggle, giggling","(i., a.)",,
trū,v,"to scratch or carve, especially with claws or talons","trūrd, trutru, trūrd",,
trūrχu (1),adj,"vicious, savage, violent; talented in combat",trutrurχu,,
trykx,v,"to be from, to originate in","N/A, treke, trekēd",- this verb is only used in the gnomic; the simple form is used only with auxiliaries,
tryq,v,to escape; to fly away,"tyrχad, trytryq, trytryχad",,
tryχaχu (1),n,"- (animates) escapee
- (mag., mun.) fumes, exhaust
- (a.) escape; escapism",(all),,
tryχħôħ,v,"to leave, to go away","tryχħôd, treχħôħ, treχħôd",,
tu,v,to be or become lost,"tōd, tur, tōrd",,
tudeŋqχo,adv,"ineffectively, impotently; hardly, barely, faintly",tudeŋqχō,,
tuŋ (3),n,"- (animates) land-dweller, one who resides on land
- (mag.) magic stone; any small stone with magical properties
- (mun.) stone, rock, pebble; dirt
- (a.) ground; (definite) the Material Plane",(all),"- sense ""land-dweller"" frequently used by dragons as a pejorative for humanoids",
tuŋe (1),adj,"apocalyptic, disastrous, catastrophic; doomed, hopeless",turŋe,,
tuŋex (2),n,"- (e.) Harbinger of Doom; any exalted being threatening apocalypse
- (mag.) meteor, asteroid, meteorite, meteoroid; comet, shooting star; (plural) meteor shower
- (mun.) cannonball; rocket, missile; any hefty projectile
- (a.) doom; (definite plural) apocalypse, armageddon","(e., mag., mun., a.)",,
tur (1),n,brother,(animates),,
tur',v,"to wander, to stroll; to take a leisurely walk or flight; to go along, to be on one's way","tur'ad, tūru', tūru'ad",,
tur'a (2),adj,"wandering, meandering; carefree; haphazard, careless",tūr'a,,
tur'a (2),n,"- (animates) wanderer; care-free individual
- (mag.) potion created haphazardly or with random ingrediants
- (mun.) a trail or path, not necessarily to anywhere in particular
- (a.) wander, stroll; a leisurely walk or flight; a way, a route",(all),,
tutuŋ (3),n,"- (animates) burrower, a creature which burrows through earth
- (mag.) earthen magic; (definite singular) the elemental plane of earth
- (mun.) earth, ground; bedrock; anchor
- (a.) solid; axiom; theoretical foundation",(all),,
tuz,con,"as, in the same way, to the same extent",,,
tylurħ,v,to borrow,"tylurħád, tilurħ, tilurħád",,
tyth (3),adj,"lax, loose, limp; stringy, frayed, bristled",tyrth,,
tytru,v,"to pierce, especially with claws or talons; to shred, to tear into; to sunder","tytrūd, tortru, tortrūd",,
u,aux,"to accidentally, to mistakenly (accidental aspect)","ad, ū, ād",,
u',v,"to burp, belch","u'ad, ū', ū'ad",,
u' (2),n,"- (mun) burp, belch
- (a.) accident; anything unintentional","(mun., a.)",,
u'χħá (4),adj,extensive; all-encompassing; omnipresent; ,ū'χħá,,
ūk,v,to sink; to fall a great distance,"ūxad, ū'yk, ū'yxad",,
uk (3),adj,"minimal, lowest",ūk,,
uk (3),n,"- (mag.) null point, space of no magic
- (mun.) lowest point
- (a.) minimum; nadir",(inanimates),,
ūk (3),n,"- (mag., mun.) wreck, shipwreck
- (a.) fall, sinking, descent; latency, delay, regression; Recessive",(inanimates),,
ûl (3),part,"-gon, suffix on numbers to form polygons of that many sides",,,
ūl (3),n,"- (animates) body
- (mag.) a manifestation of magic
- (mun.) shape, form
- (a.) theoretical form",(all),,
ūn,part,optional noun suffix on animate roots to specify masculine,,- rare,
ural (1),n,"nonsense, gibberish",(a.),,
ūri (1),n,"- (mon.) kraken; any giant sea monster, typically tentacled
- (i.) giant squid or octopus; any large tentacled creature
- (mun.) calamari, or other related foods","(mon., i., mun.)",,
xā (2),n,"- (e.) Sun God
- (mag.) sun; sunlight
- (mun.) sunny weather","(e., mag., mun.)",,
xæn (3),n,"- (mag., mun.) snout; nose
- (a.) deference, respect",(inanimates),,
xærâħ (4),n,"- (e.) a World Tree, a powerful sentient tree which anchors and guards over vast expanses of nature
- (r.) ent
- (i.) tree
- (mun.) wood","(e., r., i., mun.)",,
xærī (2),n,"- (r., mon.) forest spirit; pixie
- (i.) shrub, fern, bush
- (mag.) wand
- (mun.) branch; stick, twig","(r., mon., i., mag., mun.)",,
xarŋ,v,"to crouch, to duck; to flinch, to recoil","xarŋad, xārŋ, xārŋad",,
xāth,v,"to follow, to pursue","xārd, xoxāth, xoxārd",,
xaχ (1),adj,"horrific, terrifying; dangerous",xæxaχ,,
xaχō (1),n,"- (e.) fiersome dragon
- (mon.) a horror; a monstrosity
- (mag.) uncontrollable fear
- (a.) horror, terror","(ex., mon., mag., a.)","- sense ""fiersome dragon"" is seldom used by dragons, but common among Draconic-speaking humanoids",
xolek,v,to gallop; to run on four legs,"xolekad, xōlek, xōlekad",,
xy,con,so,,,
yfâħá (1),adj,"misty, foggy; hazy, unclear, confusing; translucent",īfâħá,,
yk,v,"to lower, to set; to fall","yxad, uk, uxad",- intransitive,
yqā (2),n,"- (mag.) (definite) The Twilight Forest
- (mun.) sunset
- (a.) twilight, eventide",(inanimates),,
yqu (3),n,"- (mon.) a hostile ethereal creature, especially of the ethereal plane
- (mag.) ether, omnipresent magical energy; (definite) the ethereal plane
- (a.) magic","(mon., mag., a.)",,
yxa (1),n,"- (animates) a creature afflicted by magical sickness
- (mag.) a case of magical sickness; a maladie or other affliction caused by magic
- (a.) magical sickness in general","(e., r., mon.,  i., mag., a.)",,
yxad (3),adj,"fallen, grounded; latent, dormant; regressive; recessive",uxad,,
yχħof (3),adj,"green, verdant, lush; marshy, swampy",iχħof,,
χa (2),n,"- (e., r.) common Draconic name
- (mag., mun.) claw, talon
- (a.) trace, impact","(e., r., mag., mun., a.)",,
χāg,v,"to open wide; to tear down the middle, to split in two; (reflexive) to yawn","χāgad, χaχāg, χaχāgad",,
χall,v,to bite; to gnash,"χad, χaχall, χaχad",,
χall (3),n,bite; biting; gnashing,(a.),,
χaloq,v,"to be old, ancient; to be strong, powerful","χalqād, χāloq, χālqād",,
χāloq (3),n,"- (mag.) casting time
- (mun.) season
- (a.) age, seniority; (of a dragon) inherent strength, power",(inanimates),,
χāŋō (1),n,"- (mon., i.) zombie; mindless undead
- (mun.) corpse
- (a.) zombies, mindless undead as a goup","(mon., i., mun., a.)",,
χar,aux,"to hopefully, to wish to, to desire to (desiderative mood)","χalód, χār, χalód",,
χāráħ (4),n,"- (e.) (definite) Yggdrasil
- (r.) sentient tree; (plural) sentient plant life
- (r., mon., i.) (definite) nature, as it is personified and acts
- (mag.) nature magic
- (a.) nature, in the abstract","(e., r., mon., i., mag., a.)",,
χārm,v,"to shine, to be bright","χārmad, χeχārm, χeχārmad",,
χārmex (2),adj,"bright, shining; apparent",χeχārmex (2),,
χārmex (2),n,"- (i.) biolumescent creature
- (mag.) magical light
- (mun.) light, light source
- (a.) brightness","(i., mag., mun., a.)",,
χarŋ,v,"to back down, to surrender, to capitulate, to give up; to admit, to confess","χarŋad, χārŋ, χārŋad",,
χārŋ (3),n,"- (animates) prisoner of war; loser
- (mun.) treaty
- (a.) capitulation, surrender; confession","(e., r., mon., i., mun., a.)",,
χārô (4),n,"- (mon., i.) genie
- (mag.) magic wish
- (mun.) treasure
- (a.) wish, hope","(mon., i., mag., mun., a.)",,
χārq (3),n,year,(a.),,
χarû,v,"to aim for, to work towards","χaród, χārû, χāród",- takes preposition qēru-,
χārūħ,v,"to wish, to wish for, to hope, to hope for; to be hopeful, excited","χālód, χaχārūħ, χaχālód",,
χārχ,v,"to please, to pleasure, to delight","χārd, χōrχ, χōrd",,
χarχ (1),adj,"pleasant, delightful, enjoyable",χārχ,,
χāth,v,to hunt down; to stalk,"χāthad, χaχāth, χaχāthad",,
χatrilq,v,"to teach, to educate; to clarify; (reflexive) to study","χatrilqad, χātrilq, χātrilqad",,
χātrilq (3),n,"- (animates) teacher, tutor
- (mag.) magical education
- (mun.) lesson, curriculum, syllabus
- (a.) lesson topic; education",(all),,
χâtroχ (1),n,"- (animates) author; scribe
- (mag.) magical writing instrument
- (mun.) pen, writing instrument
- (a.) spelling; handwriting",(all),,
χátru,v,"to write, to inscribe","χátrurd, χâtru, χâtrurd",,
χâtrū (1),n,"- (mag.) tome; spellbook
- (mun.) scroll; book, novel
- (a.) literature",(inanimates),,
χaχæ (1),n,"- (r.) lizardfolk; any reptilian humanoid
- (mon.) reptilian monster
- (i.) a reptile, especially alligators and crocodiles
- (mun.) cuspid, especially of a reptile
- (a.) reptilia or lizardkind, lizardfolk as a group","(r., mon., i., mun., a.)",,
χaχāg (3),adj,"yawning, wide open; split/torn in two",χāχāg,,
χēgēk (3),n,"childhood, adolescence",(a.),,
χehantox,v,"to appoint, to nominate; to select, to choose","χehantōd, χēhantox, χēhantōd",,
χehēnâ,v,"to devastate, to ravage; to paralyze; to severely disorient","χehēnâd, χēhēnâ, χēhēnâd",,
χehiná,v,"to haunt, to possess; to linger","χehinâd, χēhiná, χēhinâd","- sense ""to linger"" takes preposition sī-",
χēn',v,to carry; to pick up,"χēn'ad, χeχēn', χeχēn'ad",,
χēni (1),n,"- (mon.) specter, phantom
- (i.) camel
- (mag.) magic bubble, usually containing some liquid or gas
- (mun.) barrel, keg; bucket, pail
- (a.) duration; endurance","(mon., i., mag., mun., a.)",,
χēnīn,v,"to compel into hard labor; to compel into servitude, to enslave","χēnīnad, χeχīnīn, χeχīnīnad",,
χēnorn (1),n,"- (mag.) telekinetic magic
- (a.) telekenesis","(mag., a.)",,
χentōd (3),adj,"special, select, chosen",χēntōd,,
χenyl,adv,"firstly, initially, primarily",N/A,,
χeχe,v,"to make, to create","χōd, χēχe, χēχōd",,
χħa'th0 (2),n,"- (animates) aderent of esoteric religious beliefs; pagan
- (mag.) magical obelisk; mage tower
- (mun.) obelisk; tower; spire
- (a.) esoteric religious beliefs; paganism",(all),,
χħâħ (4),n,"- (mon.) sentient, hostile tree
- (i.) mangled or gnarled tree","(mon., i.)",,
χħákx,v,to influence; to enforce; to make someone do something,"χħáxced, χħâkx, χħâxced",- implies causative of following subordinate clause,
χħâllu (3),n,"- (mag.) a magic word; a power word
- (a.) word, term; utterance","(mag., a.)",,
χħâlqo (3),n,"- (mag.) (definite) an extraplanar region beyond the stars home to gods, celestials, and souls of the righteous; heaven; (indefinite) any good-aligned alternate plane or dimension
- (mun.) zone, area, physical domain; territory
- (a.) extent; theoretical or categorical domain; reach, sway, influence",(inanimates),,
χħáq̇ok,v,"to constrict, constrain; to encumber; to choke, strangle","χħáq̇okad, χħâq̇ok, χħâq̇okad",,
χħátrū (1),n,"- (mag.) glyph; ritualistic carving
- (mun.) text, excerpt; written sample
- (a.) writing",(inanimates),,
χħáxul,v,"to transform, to make into","χħáxūd, χħâxul, χħâxūd","- result of transformation marked with preposition thū-
- can also suffix onto nouns to verbalize them, like ""___-ify,"" but this is seen as a bit clunky outside of loanwords",
χħáχæmō,v,"to categorize, to organize; to distinguish","χħáχæmōd, χħâχæmō, χħâχæmōd",,
χħēhā (2),n,"- (mag., mun.) pyramid
- (a.) hierarchy, ranking; class, gender (grammatical)",(inanimates),,
χħóf (3),n,"- (mon.) bog monster; (plural) creeping vines
- (i.) (plural) wildlife
- (mun.) swamp, marsh, bog","(mon., i., mun.)",,
χħôħá,part,"the great, the honorable; particle used to present or introduce dragons of nobility, especially to a crowd",,,
χħôħá,v,"to dominate, oppress, suppress; to smother; to terrorize","χħôħád, χyχħôħá, χyχħôħád",,
χħôħáŋ,v,"to drag, to pull","χħôħáŋad, χyχħôħáŋ, χyχħôħáŋad",,
χħôl (3),n,"- (mag.) incantation
- (a.) speech, speaking","(mag., a.)",,
χħóq̇âd (3),adj,"manufactured, forged; artificial",χħôq̇âd,,
χħóq̇ħó (1),n,"- (animates) a brute; one who is brutal
- (mag.) a magical attack which physically strikes
- (mun.) whip
- (a.) whipping; brutality","(e., r., mon.,  i., mun., a.)",,
χħú'lu,v,to heal; to cure,"χħú'lūd, χħû'lu, χħû'lūd",,
χħû'lu (1),n,"- (animates) healer
- (mag.) cure; magical healing
- (mun.) pill, medicine
- (a.) healing, medicine; health",(inanimates),,
χō'ekxa,v,"to show, to display; to present someone or something with humility","χō'ekxud, χeχēkxa, χeχēkxud",,
χōfāl,v,"to trap, to ensnare; to tie up, to entangle","χōfāled, χeχōfāl, χeχōfāled",,
χōfāled (1),n,"- (i.) carnivorous plant; tangle of vines or other such plants
- (mag.) magical trap, snare; magically activated trigger
- (mun.) mechanical trap, snare
- (a.) trap, a deceitful arrangement; entrapment","(i., mag., mun., a.)","- sense ""carnivorous plant"" typically refers to small, flytrap-like plants",
χogāth,v,to hunt; to chase after,"χogārd, χōgāth, χōgārd",,
χōgēk,v,"to raise young, to bring up children; to treat well","χōgēxad, χēgēk, χēgēxad",- almost always used in gnomic,
χōgu',v,"to grant, to bestow; to adorn, to decorate","χōgu'led, χeχōgu', χeχōgu'led",,
χōhakx,v,"to debate, dispute, discuss","χōhaqχud, χeχōhakx, χeχōhaqχud",,
χoħáth,v,"to invite, to accept someone, especially into one's home; (reflexive) to immigrate","χoħâd, χōħáth, χōħâd",,
χokōru,v,"to fuse, to alloy; to amalgamate","χokōrud, χōkōru, χōkōrud",,
χōlleql (3),n,"- (e., r.) jester; clown; comedian
- (a.) comedy","(e., r., a.)",,
χōlliχħo,v,"to inform; to announce; to publicize, to make publicly known","χōlliχħād, χeχōlliχħo, χeχōlliχħād",,
χōlliχħo (4),n,announcement; information,(a.),,
χōna,v,"to birth, to bear young; to progenate","χōnād, χeχōna, χeχōnād",- can be used of any biological parent,
χōq,v,"to throw, to launch ","χōqad, χeχōq, χeχōqad",,
χōqathyt,v,"to dunk, to immerse in water; to drown","χōqathud, χeχōqathyt, χeχōqathud",,
χōrn,v,"to hide, conceal; to obscure","χōrnad, χoχōrn, χoχōrnad",,
χōrthq̇,v,"to entrance, to dazzle; to hypnotize; to mesmerize","χōrq̇thod, χeχōrthq̇, χeχōrq̇thod",,
χōrthq̇ (4),adj,"hypnotic, hypnotizing; mesmerizing, bewildering",χeχōrthq̇,,
χōrthq̇ (4),n,"- (animates) hypnotist
- (mag.) hypnosis, hypnotic magic
- (mun.) fanfare; ceremony, celebration
- (a.) hypnosis, as a field or discipline",(all),,
χōrxyll,v,"to thicken; to make sturdy, to reinforce","χōrxylled, χeχōrxyll, χeχōrxylled",,
χotrill,v,"to cause pain against, to cause suffering; to harm, injure; (reflexive) to agonize; to mourn, grieve","χotrillad, χōtrill, χōtrillad",,
χōtrill (2),adj,"painful, agonizing, excruciating",χyχōtrill,,
χōtru,v,"to enlist, to recruit; to task","χōtrūd, χeχōtru, χeχōtrūd",,
χōtrūrχu (1),n,"- (animates) lieutenant; leader (of a small group or team)
- (mag.) magic that compels one do to something against their own will
- (mun.) commandment (as written or decreed)
- (a.) employment, hiring of an employee; command, order; imperative, commandment (as given)",(all),,
χōzi,v,to shrink; to talk bad about,"χōzīd, χeχōzi, χeχōzīd",,
χū',v,"to transport, to deliver","χū'led, χuχū', χuχū'led",,
χu'lu,v,"to help, aid, assist; to administer care/aid; to comfort","χu'lūd, χū'lu, χū'lūd",,
χu'lu (1),n,"- (mag.) magical comfort
- (mun.) luxury, comfort
- (a.) aid, assistance, help, care; luxury, comfort (conceptual)",(inanimates),,
χu'luχi (3),n,"- (i.) ant
- (mun.) spoke, rung
- (a.) support, assistance","(i., mun., a.)",,
χu'luχu (1),adj,"blessed, holy; clerical",χū'luχu,,
χu'luχu (1),n,"- (animates) cleric; religious leader, epseically one capable of divine magic
- (mag.) any divinely blessed item; clerical magic
- (mun.) a divine symbol
- (a.) divine blessing",(all),,
χuh',v,"to grasp, to clutch, especially with the claws or hands","χuh'led, χuχuh', χuχuh'led",,
χulle (1),adj,"small, little; (of a dragon) young, weak",χūlle,,
χullīrχ (3),n,"- (mag.) magical weakness
- (mun.) miniature
- (a.) weakness, fragility",(inanimates),,
χullīs (1),adj,"tiny, minuscule, puny; terribly weak; fragile",χūllīs,- rarely used to describe dragons,
χūq (4),adj,"forceful, vigorous, powerful; insistent",χuχūq,,
χuχūq (4),n,"power, force, strength, vigor; insistence, determination",(a.),,
χyx,v,"to split, to divide","χyxad, χexy, χexad",,
χyxad (1),adj,"split, divided, forked",χexad,,
